Index,Cruise,Vessel name,Station,Haul,Date [UTC],Time [UTC],  Lat [°N],  Lon [°E]                              ,  Bottom depth [m]                      ,  Depth [m]                             ,  Pressure [dbar]                       ,  Temperature [°C]                      ,  Salinity [PSS-78]                     ,  Conductivity [mS/cm]                  ,  Oxygen concentration [µM]             ,  Temperature from oxygen sensor [°C]   ,  Oxygen saturation [%]                 ,  Chlorophyll a []                      ,  Light []                              ,  Speed [kn]                            ,  Dr. Haardt fluorescence channel A     ,  Dr. Haardt fluorescence channel B     ,  Dr. Haardt fluorescence channel C     ,  Dr. Haardt fluorescence channel D     ,  Speed over ground [kn]                  ,  Speed in water []                     ,  Frames [frames/s]                     ,  Automatic classification              ,  Manual classification                 ,  Area [pixels]                         ,  Form                                  ,  Area                                  ,  Length                                ,  Width                                 ,  Convexity                             ,  Structure                             ,  Graymean                              ,  Kurtosis                              ,  Skewness                              ,  Hu moment 1                           ,  Hu moment 2                           ,  Hu moment 3                           ,  Hu moment 4                           ,  Hu moment 5                           ,  Hu moment 6                           ,  Hu moment 7                           ,  Fourier descriptor 01                 ,  Fourier descriptor 02                 ,  Fourier descriptor 03                 ,  Fourier descriptor 04                 ,  Fourier descriptor 05                 ,  Fourier descriptor 06                 ,  Fourier descriptor 07                 ,  Fourier descriptor 08                 ,  Fourier descriptor 09                 ,  Fourier descriptor 10                 ,  Image file name                       
Evaluation,0,0,0,0,0,0,0,0,0,128,0,129,130,0,131,0,0,132,0,0,133,134,135,136,0,0,0,0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,226,1.31014572,0.123,0,0,1.488416791,230.6592834,129,-1.177948684,0.036236556,0.182138602,0.006886722,0.00013241,8.11E-06,2.66E-10,6.72E-07,7.01E-12,1347.502876,463.7381343,5.316356907,29.56327865,4.930040103,9.088520572,11.42311198,9.02156401,0.268553731,1,20130828 175335  001  000000 0858 0442.bmp
2,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,163,4.131962979,0.089,0,0,8.806466103,417.6626719,66,0.410091434,1.461343598,0.241876389,0.015504819,0.003868259,0.002117807,5.73E-06,0.000262903,-1.97E-06,1746.611004,564.9603985,235.0999126,53.32796091,49.73907069,23.44645964,17.60829385,25.55948501,5.479903282,6.861524126,20130828 175335  101  000000 0266 0250.bmp
3,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,290,1.344517482,0.158,0,0,1.941450715,338.407646,125,-1.384230916,-0.062278128,0.175583717,0.004164694,0.000173207,1.64E-05,7.95E-10,9.38E-07,-3.65E-10,1502.649993,583.5426491,14.23753472,22.03956242,20.31336055,11.52466619,16.0651317,8.88742768,5.083710703,1.751702012,20130828 175335  101  000001 0450 0690.bmp
4,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,159,2.815099657,0.087,0,0,4.270992756,429.9787776,59,0.954412286,1.647757986,0.265109034,0.032341636,0.005615727,0.002285205,8.18E-06,0.00040248,-1.74E-07,1619.453303,494.2051098,71.85907642,59.042222,16.62369957,16.60603405,24.30006645,23.57869065,10.75028104,7.110562416,20130828 175335  134  000000 0790 0250.bmp
5,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,303,1.323861159,0.165,0,0,1.109400392,340.6727211,140,-1.377720821,-0.351896845,0.168268348,0.002665797,2.97E-05,4.72E-07,-4.47E-13,-1.31E-08,-1.71E-12,1570.726265,595.3025777,5.505346617,29.82070605,6.436904553,2.967127833,1.468217435,5.064530243,2.460710773,3.581635585,20130828 175335  134  000001 0946 0686.bmp
6,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,186,1.156810214,0.101,0,0,0,162.9326009,142,-1.486538454,-0.127049317,0.160059662,0.000106725,5.71E-06,3.49E-08,1.35E-14,3.39E-10,7.76E-15,949.1743781,347.2819511,4.020188735,2.487272947,0.662290471,4.418774346,2.348129117,1.057689629,0.723408283,2.257850076,20130828 175335  268  000000 0162 0846.bmp
7,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,193,1.202260509,0.105,0,0,1,213.6875878,153,-1.518790003,-0.344705919,0.159670224,6.69E-06,1.42E-06,1.60E-09,-6.15E-17,-9.30E-13,-4.52E-17,1000.289958,353.7298265,2.037065584,1.818982658,0.401795956,4.580578713,2.286451793,3.562333342,2.133640402,2.256395904,20130828 175335  301  000000 0758 0846.bmp
8,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,202,1.87549186,0.11,0,0,4.980696678,257.7287965,98,-1.140589625,0.613585599,0.173467668,0.000341717,0.000214461,2.45E-05,5.92E-10,-4.53E-07,1.68E-09,1400.97823,481.5132782,56.57902888,24.49537318,39.38571018,23.0392626,16.38037317,10.24022931,0.617331435,4.328521833,20130828 175335  334  000000 0450 0282.bmp
9,ArNet2013,GCC Amundsen,117,Haul 1,8/28/2013,5:53 PM,0,0,0,4450.510295,4522.605,0.304,32.0006841,28.705,-467.66,-0.03,-102.331,0,0,9999,0.447,0.015,0.015,0.015,0,0,,NC,NC,110,1.337557921,0.06,0,0,1.109400392,89.08725752,99,-0.731244517,0.66493303,0.161050797,0.000149029,5.95E-05,3.52E-07,1.18E-12,3.12E-09,1.09E-12,688.8904122,215.789786,10.16391829,3.898224265,3.487849206,3.590257005,1.773018201,0.662241704,2.284538632,1.414213562,20130828 175335  334  000001 0354 0454.bmp
